"House.Number","Visit","Date Sampled","City","Zipcode","Type of Air Conditioner","Out","In","In_Out_ratio"
"H04","V1",2022-07-28,"Santaquin",84655,"Central",40,5.20158901507158,0.130039725376789
"H02","V1",2022-07-26,"Elk Ridge",84651,"Central",38,5.47536376961602,0.144088520253053
"H03","V1",2022-07-27,"Payson",84651,"Central",32,5.30776420346802,0.165867631358376
"H05","V1",2022-08-01,"Provo",84606,"Central",20,5.22641553986139,0.261320776993069
"H06","V1",2022-08-01,"Orem",84058,"Central",31,5.41865698949435,0.174795386757882
"H07","V1",2022-08-03,"Provo",84601,"Central",47,4.61413891727557,0.0981731684526716
"H08","V1",2022-08-09,"Provo",84604,"Central",33,5.22479766695273,0.15832720202887
"H09","V1",2022-08-09,"Provo",84604,"Central",23,5.27892449494209,0.22951845630183
"H10","V1",2022-08-11,"Spanish Fork",84660,"Central",30,5.22887821995862,0.174295940665287
"H12","V1",2022-08-11,"Pleasant Grove",84062,"Central",35,10,0.285714285714286
"H13","V1",2022-08-10,"Lehi",84043,"Central",38,5.28459369164222,0.139068255043216
"H11","V1",2022-08-16,"Payson",84651,"Central",39,4.88000642575837,0.12512836989124
"H16","V1",2022-08-17,"Springville",84663,"Central",37,5.23649142690915,0.141526795321869
"H17","V1",2022-09-01,"Springville",84663,"Evaporative",37,21,0.567567567567568
"H18","V1",2022-09-01,"Springville",84663,"Evaporative",40,21,0.525
"H19","V1",2022-09-01,"Mapleton",84664,"Evaporative",39,26,0.666666666666667
"H08","V2",2022-09-08,"Provo",84604,"Central",33,2.58114361971746,0.0782164733247716
"H20","V1",2022-09-08,"Provo",84606,"Evaporative",27,11,0.407407407407407
"H21","V1",2022-09-08,"Springville",84663,"Evaporative",34,24,0.705882352941177
"H14","V1",2022-09-09,"Provo",84606,"Central",41,2.60368388206918,0.0635044849285167
"H16","V2",2022-09-09,"Springville",84663,"Central",41,2.58476933051105,0.0630431544027085
"H22","V1",2022-09-12,"Orem",84057,"Evaporative",28,15,0.535714285714286
"H23","V1",2022-09-12,"Orem",84057,"Evaporative",33,24,0.727272727272727
"H25","V1",2023-07-13,"Pleasant Grove",84604,"Evaporative",30,22,0.733333333333333
"H24","V1",2023-07-13,"Provo",84604,"Evaporative",30,19,0.633333333333333
"H27","V1",2023-07-20,"Provo",84601,"Evaporative",25,18,0.72
"H28","V1",2023-07-21,"Provo",84604,"Evaporative",30,19,0.633333333333333
"H03","V2",2023-08-02,"Payson",84651,"Central",33,2.64272220186339,0.0800824909655574
"H10","V3",2023-08-02,"Spanish Fork",84660,"Central",28,2.65573430009268,0.0948476535747385
"H17","V3",2023-08-02,"Springville",84663,"Evaporative",30,16,0.533333333333333
"H30","V1",2023-08-10,"Provo",84606,"Evaporative",25,18,0.72
"H29","V1",2023-08-10,"Provo",84604,"Evaporative",19,2.6865864329478,0.141399285944621
"H16","V4",2023-08-14,"Springville",84663,"Central",33,2.6220559540394,0.0794562410314971
"H02","V2",2023-08-15,"Elk Ridge",84651,"Central",32,2.65756311480771,0.0830488473377409
"H05","V3",2023-08-21,"Provo",84606,"Central",18,2.65218793174618,0.147343773985899
"H15","V1",2023-08-21,"Provo",84604,"Central",20,2.6562583604329,0.132812918021645
"H29","V2",2023-08-21,"Provo",84604,"Evaporative",21,2.67777291167319,0.127512995793961
"H32","V1",2023-08-28,"Provo",84604,"Evaporative",22,14,0.636363636363636
"H31","V1",2023-08-24,"Springville",84663,"Central",22,2.61442658365187,0.118837571984176
"H27","V2",2023-08-28,"Provo",84601,"Evaporative",25,4.8,0.192
"H26","V2",2023-08-28,"Provo",84606,"Evaporative",17,16,0.941176470588235
"H33","V1",2023-08-31,"Provo",84604,"Central",26,2.70866511780096,0.104179427607729
"H19","V3",2023-08-31,"Mapleton",84664,"Evaporative",34,21,0.617647058823529
"H02","V3",2023-08-31,"Elk Ridge",84651,"Central",33,2.7612117245613,0.0836730825624637
"H26","V1",2023-07-20,"Provo",84606,"Evaporative",26,24,0.923076923076923
